NAME ,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,Latitude,Longitude ,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
Lincoln Belmont,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1659 W. Melrose St.,Chicago,IL,60657,312 744-0166,https://www.chipublib.org/locations/43/,41.94046531,-87.67102536,22,57,4449,742,18
Lincoln Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1150 W. Fullerton Ave.,Chicago,IL,60614,312 744-1926,https://www.chipublib.org/locations/44/,41.92540664,-87.65806218,16,68,21190,795,34
Little Italy,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1336 W. Taylor St.,Chicago,IL,60607,312 746-5656,https://www.chipublib.org/locations/62/,41.86946341,-87.66072613,44,29,14917,759,23
Little Village,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2311 S. Kedzie Ave.,Chicago,IL,60623,312 745-1862,https://www.chipublib.org/locations/45/,41.84959156,-87.70504118,57,32,21569,261,1
Logan Square,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3030 W. Fullerton Ave.,Chicago,IL,60647,312 744-5295,https://www.chipublib.org/locations/46/,41.92486038,-87.70351905,1,23,22535,549,40
Lozano,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1805 S. Loomis St.,Chicago,IL,60608,312 746-4329,https://www.chipublib.org/locations/47/,41.85760123,-87.66116376,43,33,14920,365,26
Manning,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6 S. Hoyne Ave.,Chicago,IL,60612,312 746-6800,https://www.chipublib.org/locations/48/,41.88108556,-87.67923505,28,29,21184,89,46
Mayfair,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4400 W. Lawrence Ave.,Chicago,IL,60630,312 744-1254,https://www.chipublib.org/locations/49/,41.96824277,-87.73796878,48,14,21869,751,38
McKinley Park,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1915 W. 35th St.,Chicago,IL,60609,312 747-6082,https://www.chipublib.org/locations/50/,41.83030075,-87.67349098,37,56,14924,720,1
Merlo,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",644 W. Belmont Ave.,Chicago,IL,60657,312 744-1139,https://www.chipublib.org/locations/51/,41.94013164,-87.64602858,22,57,4449,730,25
Mount Greenwood,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",11010 S. Kedzie Ave.,Chicago,IL,60655,312 747-2805,https://www.chipublib.org/locations/52/,41.69301581,-87.70102478,33,73,4447,369,42
Near North,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",310 W. Division St.,Chicago,IL,60610,312 744-0991,https://www.chipublib.org/locations/53/,41.90393142,-87.63660776,54,37,14926,290,11
North Austin,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5724 W. North Ave.,Chicago,IL,60639,312 746-4233,https://www.chipublib.org/locations/54/,41.90944483,-87.76898327,2,26,22615,597,7
North Pulaski,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4300 W. North Ave.,Chicago,IL,60639,312 744-9573,https://www.chipublib.org/locations/55/,41.90989766,-87.73376823,2,24,22615,285,49
Northtown,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6800 N. Western Ave.,Chicago,IL,60645,312 744-2292,https://www.chipublib.org/locations/56/,42.00507612,-87.69021903,12,20,22528,42,27
Oriole Park,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",7454 W. Balmoral Ave.,Chicago,IL,60656,312 744-1965,https://www.chipublib.org/locations/57/,41.97809811,-87.8142003,31,36,4448,735,29
Popular Library at Water Works,"Mon. - Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",163 E. Pearson St.,Chicago,IL,60611,312 742-8811,https://www.chipublib.org/locations/73/,41.89748407,-87.62337777,6,37,21182,233,11
Portage-Cragin,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5108 W. Belmont Ave.,Chicago,IL,60641,312 744-0152,https://www.chipublib.org/locations/58/,41.93883597,-87.75467117,21,15,22618,114,17
Pullman,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",11001 S. Indiana Ave.,Chicago,IL,60628,312 747-2033,https://www.chipublib.org/locations/59/,41.69436482,-87.61814141,19,45,21861,237,43
Roden,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6083 N. Northwest Hwy.,Chicago,IL,60631,312 744-1478,https://www.chipublib.org/locations/60/,41.9919976,-87.79820643,17,36,22243,657,29
Rogers Park,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6907 N. Clark St.,Chicago,IL,60626,312 744-0156,https://www.chipublib.org/locations/61/,42.00682227,-87.67330813,9,10,21853,49,5
Scottsdale,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4101 W. 79th St.,Chicago,IL,60652,312 747-0193,https://www.chipublib.org/locations/63/,41.74928543,-87.72440869,8,69,4300,235,30
Sherman Park,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5440 S. Racine Ave.,Chicago,IL,60609,312 747-0477,https://www.chipublib.org/locations/64/,41.79476902,-87.65502838,37,59,14924,790,4
South Chicago,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",9055 S. Houston Ave.,Chicago,IL,60617,312 747-8065,https://www.chipublib.org/locations/65/,41.73029772,-87.54972659,25,42,21202,175,47
South Shore,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2505 E. 73rd St.,Chicago,IL,60649,312 747-5281,https://www.chipublib.org/locations/66/,41.76254142,-87.56387694,24,39,22538,245,37
Sulzer Regional Library,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",4455 N. Lincoln Ave.,Chicago,IL,60625,312 744-7616,https://www.chipublib.org/locations/67/,41.96296686,-87.68469465,20,6,21849,667,18
Thurgood Marshall,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",7506 S. Racine Ave.,Chicago,IL,60620,312 747-5927,https://www.chipublib.org/locations/68/,41.75734388,-87.65406438,59,70,21554,572,31
Toman,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",2708 S. Pulaski Rd.,Chicago,IL,60623,312 745-1660,https://www.chipublib.org/locations/69/,41.8420861,-87.72463966,57,32,21569,248,28
Uptown,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",929 W. Buena Ave.,Chicago,IL,60613,312 744-8400,https://www.chipublib.org/locations/70/,41.95832306,-87.65424744,53,31,21186,577,39
Vodak-East Side,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",3710 E. 106th St.,Chicago,IL,60617,312 747-5500,https://www.chipublib.org/locations/71/,41.70283444,-87.61428978,19,45,21861,236,43
Walker,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",11071 S. Hoyne Ave.,Chicago,IL,60643,312 747-1920,https://www.chipublib.org/locations/72/,41.69198347,-87.6739093,13,74,22212,380,42
West Belmont,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3104 N. Narragansett Ave.,Chicago,IL,60611,312 746-5142,https://www.chipublib.org/locations/74/,41.93665219,-87.78602401,52,19,22254,137,44
West Chicago Avenue,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4856 W. Chicago Ave.,Chicago,IL,60634,312 743-0260,https://www.chipublib.org/locations/75/,41.8950961,-87.74806073,5,26,4299,578,45
West Englewood,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1745 W. 63rd St.,Chicago,IL,60651,312 747-3481,https://www.chipublib.org/locations/76/,41.77928204,-87.66843344,23,65,22257,280,3
West Lawn,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4020 W. 63rd St.,Chicago,IL,60636,312 747-7381,https://www.chipublib.org/locations/77/,41.77875389,-87.72374295,58,63,21867,292,6
West Loop,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",122 N. Aberdeen St.,Chicago,IL,60607,312 744-2995,https://www.chipublib.org/locations/88/,41.8837105,-87.65456505,44,29,14917,63,46
West Pullman,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",830 W. 119th St.,Chicago,IL,60643,312 747-1425,https://www.chipublib.org/locations/78/,41.67790647,-87.64316832,13,50,22212,642,22
West Town,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1625 W. Chicago Ave.,Chicago,IL,60622,312 743-0450,https://www.chipublib.org/locations/79/,41.8959473,-87.66829305,4,25,21560,520,41
"Whitney M. Young, Jr.","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",415 East 79th St.,Chicago,IL,60619,312 747-0039,https://www.chipublib.org/locations/80/,41.75101846,-87.61495065,61,40,21546,11,32
Woodson Regional Library,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",9525 S. Halsted St.,Chicago,IL,60628,312 747-6900,https://www.chipublib.org/locations/81/,41.72069489,-87.64304817,19,72,21861,593,13
Wrightwood-Ashburn,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",8530 S. Kedzie Ave.,Chicago,IL,60652,312 747-2696,https://www.chipublib.org/locations/82/,41.73795705,-87.70221598,8,69,4300,198,30
